ip,tag_name
162.155.56.106,Apache Log4j RCE Attempt
223.111.180.119,Apache Log4j RCE Attempt
213.142.150.93,Apache Log4j RCE Attempt
211.154.194.21,Apache Log4j RCE Attempt
210.6.176.90,Apache Log4j RCE Attempt
199.244.51.112,Apache Log4j RCE Attempt
199.101.171.39,Apache Log4j RCE Attempt
197.246.175.186,Apache Log4j RCE Attempt
196.196.150.38,Apache Log4j RCE Attempt
195.19.192.25,Apache Log4j RCE Attempt
191.232.38.25,Apache Log4j RCE Attempt
190.2.138.12,Apache Log4j RCE Attempt
185.220.102.254,Apache Log4j RCE Attempt
185.220.101.165,Apache Log4j RCE Attempt
185.220.101.42,Apache Log4j RCE Attempt
185.220.100.252,Apache Log4j RCE Attempt
185.220.100.243,Apache Log4j RCE Attempt
185.184.152.140,Apache Log4j RCE Attempt
185.83.214.69,Apache Log4j RCE Attempt
185.14.30.81,Apache Log4j RCE Attempt
180.215.130.42,Apache Log4j RCE Attempt
178.176.202.121,Apache Log4j RCE Attempt
175.6.210.66,Apache Log4j RCE Attempt
173.242.119.234,Apache Log4j RCE Attempt
172.105.200.221,Apache Log4j RCE Attempt
172.104.64.104,Apache Log4j RCE Attempt
171.239.168.249,Apache Log4j RCE Attempt
171.25.193.78,Apache Log4j RCE Attempt
167.71.175.10,Apache Log4j RCE Attempt
167.71.13.196,Apache Log4j RCE Attempt
164.163.11.21,Apache Log4j RCE Attempt
164.52.53.163,Apache Log4j RCE Attempt
151.69.81.186,Apache Log4j RCE Attempt
150.158.189.96,Apache Log4j RCE Attempt
150.158.95.54,Apache Log4j RCE Attempt
150.158.91.179,Apache Log4j RCE Attempt
147.182.237.209,Apache Log4j RCE Attempt
143.244.156.104,Apache Log4j RCE Attempt
142.93.18.229,Apache Log4j RCE Attempt
141.164.58.58,Apache Log4j RCE Attempt
140.246.171.141,Apache Log4j RCE Attempt
139.162.16.108,Apache Log4j RCE Attempt
139.59.16.196,Apache Log4j RCE Attempt
138.128.246.16,Apache Log4j RCE Attempt
122.147.30.225,Apache Log4j RCE Attempt
121.5.147.119,Apache Log4j RCE Attempt
121.4.163.148,Apache Log4j RCE Attempt
121.4.56.143,Apache Log4j RCE Attempt
116.203.175.146,Apache Log4j RCE Attempt
114.37.225.252,Apache Log4j RCE Attempt
113.98.224.68,Apache Log4j RCE Attempt
104.248.144.120,Apache Log4j RCE Attempt
104.238.212.80,Apache Log4j RCE Attempt
45.83.67.225,Apache Log4j RCE Attempt
45.83.67.224,Apache Log4j RCE Attempt
45.83.67.220,Apache Log4j RCE Attempt
45.83.67.219,Apache Log4j RCE Attempt
45.83.67.218,Apache Log4j RCE Attempt
45.83.67.214,Apache Log4j RCE Attempt
45.83.67.213,Apache Log4j RCE Attempt
45.83.67.212,Apache Log4j RCE Attempt
45.83.67.211,Apache Log4j RCE Attempt
45.83.67.210,Apache Log4j RCE Attempt
45.83.67.208,Apache Log4j RCE Attempt
45.83.67.207,Apache Log4j RCE Attempt
45.83.67.205,Apache Log4j RCE Attempt
45.83.67.204,Apache Log4j RCE Attempt
45.83.67.202,Apache Log4j RCE Attempt
45.83.67.200,Apache Log4j RCE Attempt
45.83.67.199,Apache Log4j RCE Attempt
45.83.67.198,Apache Log4j RCE Attempt
45.83.67.196,Apache Log4j RCE Attempt
45.83.67.195,Apache Log4j RCE Attempt
45.83.67.194,Apache Log4j RCE Attempt
45.83.67.193,Apache Log4j RCE Attempt
45.83.67.192,Apache Log4j RCE Attempt
45.83.67.191,Apache Log4j RCE Attempt
45.83.67.188,Apache Log4j RCE Attempt
45.83.67.187,Apache Log4j RCE Attempt
45.83.67.186,Apache Log4j RCE Attempt
45.83.67.184,Apache Log4j RCE Attempt
45.83.67.183,Apache Log4j RCE Attempt
45.83.67.182,Apache Log4j RCE Attempt
45.83.67.181,Apache Log4j RCE Attempt
45.83.67.180,Apache Log4j RCE Attempt
45.83.67.179,Apache Log4j RCE Attempt
45.83.67.178,Apache Log4j RCE Attempt
45.83.67.177,Apache Log4j RCE Attempt
45.83.67.176,Apache Log4j RCE Attempt
45.83.67.175,Apache Log4j RCE Attempt
45.83.67.174,Apache Log4j RCE Attempt
45.83.67.173,Apache Log4j RCE Attempt
45.83.67.172,Apache Log4j RCE Attempt
45.83.67.171,Apache Log4j RCE Attempt
45.83.67.170,Apache Log4j RCE Attempt
45.83.67.169,Apache Log4j RCE Attempt
45.83.67.168,Apache Log4j RCE Attempt
45.83.67.167,Apache Log4j RCE Attempt
45.83.67.166,Apache Log4j RCE Attempt
